,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
252,43825137,,572.0,1157.0,0.008,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554278.814, 146443.973), (554276.4839999999, 146449.074)]",42774348,42690135
253,43923689,,842.0,1736.0,0.001,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554295.345, 146547.09900000002), (554299.848, 146547.30800000002)]",42695559,42672198
254,43904404,,796.0,701.0,0.006,2.1181,0.094,0.00691136629719886,0.075,1.0,1.0,cs,True,"[(554137.677, 146534.831), (554137.136, 146525.935)]",42655879,42790182
255,52086101,,2582.0,2420.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554255.0, 146544.0), (554260.494381, 146544.248556)]",42889326,52086099
256,43852995,,938.0,1603.0,0.011,1.3306,0.09,0.006900129764882415,0.093,1.0,1.0,cs,True,"[(554385.081, 146592.325), (554382.654, 146594.878)]",42763526,42665892
257,43881722,,1356.0,1603.0,0.019,1.3306,0.09,0.006900129764882415,0.093,1.0,1.0,cs,True,"[(554368.589, 146584.196), (554382.654, 146594.878)]",42699715,42665892
258,52946236,,3075.0,2558.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554228.0, 146529.0), (554228.0, 146529.0)]",42897720,52946234
259,43907252,,1618.0,709.0,0.007,0.2466,0.082,0.015110841974070288,0.308,1.0,1.0,cs,True,"[(554214.986, 146571.517), (554209.23, 146583.21)]",42658456,42657359
260,43876565,,1618.0,1429.0,0.041,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554214.986, 146571.517), (554211.209, 146547.36800000002)]",42658456,42704170
261,52937820,,3076.0,1967.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554326.0, 146562.0), (554328.25, 146560.843018)]",42903601,52937818
262,43906372,,1547.0,1592.0,0.019,0.9266,0.086,0.02060124821589481,0.149,1.0,1.0,cs,True,"[(554109.826, 146552.182), (554116.753, 146541.193)]",42756786,42668642
